#{"t_start": 1622874995.046234, "env_id": "AntEnv-v8"}
r,l,t,reward,reward_motion,reward_torque,reward_velocity,reward_contact
-15.76999,20,179.124129,-1.0591368862241421,0.0,-0.01721651060538323,-0.5522176433921566,-0.4897027322266022
-22.738354,20,180.394285,-1.307972483177007,0.0,-0.012470745423671792,-0.9538793980829475,-0.34162233967038774
-13.328447,20,181.682745,-0.5662618215582258,0.0,-0.005642335017797617,-0.24467086600032387,-0.31594862054010425
-23.276429,20,182.968746,-1.3245068099387658,0.0,-0.014123713988833619,-0.6941634915492637,-0.6162196044006686
-18.56425,20,184.274361,-1.068644250274557,0.0,-0.013858714489334133,-0.5367677745678293,-0.5180177612173936
-8.723538,20,185.557064,-0.5751358239207326,0.0,-0.013595648610666828,-0.06252602928080148,-0.49901414602926425
-17.842133,20,186.880137,-1.0526351520895638,0.0,-0.008736946708107955,-0.41031457368862123,-0.6335836316928346
-26.097974,20,188.151704,-1.4008152788443984,0.0,-0.01019183723700298,-0.974586041161828,-0.41603740044556736
-20.24303,20,189.456032,-1.0670235804322679,0.0,-0.01721625741910452,-0.4980569117633493,-0.551750411249814
-13.582242,20,190.756915,-0.6582645749706253,0.0,-0.010839324664323151,-0.18514101493481025,-0.4622842353714918
-25.824186,20,192.042584,-1.2403462663931157,0.0,-0.009152913239088166,-0.8483784181381085,-0.3828149350159189
-25.546778,20,193.300762,-1.482079321067706,0.0,-0.01588578272413343,-0.920401558116722,-0.5457919802268504
-16.542603,20,194.603675,-0.9134814239577824,0.0,-0.01024475503750589,-0.5032107307756718,-0.40002593814460474
-21.978944,20,195.902705,-1.117923989832109,0.0,-0.012487708481608097,-0.7609534463021652,-0.3444828350483356
-18.666104,20,197.215481,-0.883083951178868,0.0,-0.025387294501803746,-0.4569401933577311,-0.400756463319333
-21.874346,20,198.520965,-1.1319867869760218,0.0,-0.01582121898834556,-0.60019381282542,-0.5159717551622564
-9.335486,20,199.792227,-0.2878417192793564,0.0,-0.005240339651711714,-0.022641215046736912,-0.2599601645809078
-25.610097,20,201.033815,-1.3583278032085666,0.0,-0.010912489270044356,-0.9473195914027491,-0.40009572253577314
-24.000435,20,202.340833,-1.1373733090962581,0.0,-0.011233730102119937,-0.7260078203708311,-0.4001317586233071
-24.33889,20,203.5966,-1.4726191955050367,0.0,-0.015821219895082266,-0.7989104652114183,-0.6578875103985362
-18.606986,20,204.917662,-1.0509383644868342,0.0,-0.01720435986277775,-0.5231209421962505,-0.5106130624278059
-22.397832,20,206.192091,-0.9893026004668719,0.0,-0.005186143923447781,-0.7202695413736586,-0.2638469151697655
-15.845723,20,207.457591,-1.1345953547766057,0.0,-0.01584197870032437,-0.4620853668123084,-0.6566680092639728
-21.220122,20,208.753394,-1.0883613069366014,0.0,-0.0158212189875631,-0.4795354822818882,-0.5930046056671502
-18.936045,20,210.02117,-1.1503253030829967,0.0,-0.017424983536456655,-0.5940837469274254,-0.5388165726191148
-18.492071,20,211.318214,-0.9640494065282189,0.0,-0.015922611132971682,-0.42987557938338317,-0.5182512160118641
-22.469009,20,212.578121,-1.4261617655969867,0.0,-0.01582146078875983,-0.8123693998813071,-0.5979709049269198
-15.398999,20,213.871341,-0.8000279188198018,0.0,-0.01742500885908804,-0.2767472635235875,-0.5058556464371263
-15.557988,20,215.196385,-0.7932327392392268,0.0,-0.015821441510512183,-0.2605200838962603,-0.5168912138324543
-14.080542,20,216.49858,-0.7790401223299175,0.0,-0.0172162575355884,-0.25753004822439424,-0.5042938165699348
-19.716539,20,217.802098,-1.1903347537038949,0.0,-0.16771985977620082,-0.4400609777189246,-0.5825539162087695
-26.215971,20,219.107094,-1.3348613822814017,0.0,-0.017053160195290438,-0.8207755131734009,-0.4970327089127103
-31.225692,20,220.416977,-1.5437533211248684,0.0,-0.015821447434826687,-0.8919288402988601,-0.6360030333911816
-18.258227,20,221.694264,-0.9601055021103118,0.0,-0.013576742290798211,-0.5318449254191517,-0.41468383440036183
-32.422572,20,222.99975,-1.5984240885893015,0.0,-0.015821453518382485,-0.98842517760938,-0.594177457461539
-22.610662,20,224.311859,-1.1464234222707272,0.0,-0.01582121898778105,-0.5798385957462506,-0.5507636075366956
-13.914813,20,225.60089,-0.6745837716694055,0.0,-0.009948331416798064,-0.2645319899915409,-0.4001034502610666
-10.504545,20,226.837338,-0.4826479200231999,0.0,-0.010755475848081038,-0.1370899664269044,-0.3348024777482144
-12.637825,20,228.099769,-0.6838067845431908,0.0,-0.005380192708110925,-0.27554065776708814,-0.40288593406799167
-24.859716,20,229.377575,-1.2765950302097009,0.0,-0.005854818814632584,-0.8685805021165828,-0.40215970927848566
-15.325351,20,230.67903,-0.8311831250183297,0.0,-0.01789771633875545,-0.26215795100380174,-0.5511274576757725
-15.726141,20,231.990761,-0.8232212428828751,0.0,-0.015821218987563154,-0.28988910751779523,-0.5175109163775167
-24.380371,20,233.319777,-1.2628020250005845,0.0,-0.01582119837656358,-0.7206253404824358,-0.526355486141585
-23.407106,20,234.615417,-1.226009745576265,0.0,-0.015821218987064074,-0.6314270860563432,-0.5787614405328577
-29.4933,20,235.921869,-1.6688311496855741,0.0,-0.21985074918621772,-0.8958974692796339,-0.5530829312197225
-25.278595,20,237.221904,-1.4613589298944305,0.0,-0.2167134286188386,-0.6497792419978768,-0.5948662592777151
-16.24808,20,238.521262,-1.0326140045922185,0.0,-0.015956553321378866,-0.35893347485395055,-0.6577239764168891
-21.319369,20,239.774897,-1.1385894010566375,0.0,-0.01048927843759098,-0.7280704139172054,-0.40002970870184124
-21.880138,20,241.094575,-1.010538309743111,0.0,-0.016870782181444038,-0.4492601506230872,-0.5444073769385798
-16.844933,20,242.422326,-1.1042292544257362,0.0,-0.3354579962749403,-0.145673076837958,-0.6230981813128379
-32.37618,20,243.748452,-1.864612758644178,0.0,-0.3455852960252944,-0.9339581960672944,-0.5850692665515893
-21.560173,20,245.085645,-0.94962070167352,0.0,-0.01582121898907456,-0.30772379708608705,-0.6260756855983584
-23.07925,20,246.412006,-1.3408943946453236,0.0,-0.34558529602574567,-0.3996344304254868,-0.5956746681940912
-18.4237,20,247.719341,-1.1301760265036702,0.0,-0.34547447983147206,-0.17951759184780564,-0.6051839548243925
-20.194285,20,249.003622,-0.9629915260158348,0.0,-0.0090183715682804,-0.5746283848246585,-0.3793447696228959
-25.697168,20,250.327964,-1.2911193924964572,0.0,-0.3456315271948268,-0.567797898757263,-0.37768996654436743
-24.892287,20,251.657643,-1.2864042478071727,0.0,-0.01582145404383012,-0.7406616782999224,-0.5299211154634204
-30.479037,20,252.966597,-1.6984664851896611,0.0,-0.140399367571636,-0.9913857004125968,-0.5666814172054285
-22.98768,20,254.274137,-1.1377024434896041,0.0,-0.015821218988345594,-0.5999399979087479,-0.5219412265925107
-23.631902,20,255.520122,-1.230368795917934,0.0,-0.03267104140026876,-0.7676058325812967,-0.4300919219363685
-31.931636,20,256.831417,-1.38424371503116,0.0,-0.010778618348540147,-0.9575963599320969,-0.4158687367505229
-16.15956,20,258.137058,-0.8468066902839653,0.0,-0.015940427145096556,-0.3188738722248667,-0.511992390914002
-21.787525,20,259.445073,-1.1823139410694872,0.0,-0.02562690658495935,-0.6232095070188338,-0.533477527465694
-12.774218,20,260.737637,-0.6493443121949481,0.0,-0.0160413973573352,-0.0034202031943826976,-0.6298827116432303
-18.864711,20,262.045552,-1.0052904105741125,0.0,-0.015821218988345598,-0.46065807670732356,-0.5288111148784433
-27.120562,20,263.343001,-1.3892309692153635,0.0,-0.015821218988345556,-0.8399654755391014,-0.5334442746879166
-19.767156,20,264.610899,-1.1693949137416937,0.0,-0.01737240854997795,-0.5981130653323142,-0.5539094398594016
-22.96095,20,265.903805,-1.2093801315016146,0.0,-0.015821219015571875,-0.679608999354944,-0.5139499131310987
-14.071306,20,267.212802,-0.7255096765858895,0.0,-0.015821218988345556,-0.10956390295373404,-0.6001245546438099
-11.969427,20,268.511922,-0.623862522254661,0.0,-0.015821219016027413,-0.08997648102014484,-0.5180648222184887
-25.106311,20,269.826123,-1.2694656734790595,0.0,-0.015821218988345532,-0.7200617988868864,-0.5335826556038276
